image,A,B,C,D,label
ISIC_0012676,0.15,1.63,0.26,0.67,1
ISIC_0012094,0.11,1.65,0.14,0.68,1
ISIC_0012263,0.23,1.25,0.14,0.67,1
ISIC_0012173,0.15,1.84,0.06,0.67,2
ISIC_0013828,0.22,1.78,0.09,0.69,0
ISIC_0014361,0.24,1.58,0.28,0.66,0
ISIC_0010492,0.35,1.33,0.25,0.84,1
ISIC_0000534,0.17,3.85,0.31,0.65,1
ISIC_0011105,0.18,1.33,0.31,0.79,1
ISIC_0012159,0.34,2.04,0.05,0.7,1
ISIC_0016028,0.2,9.98,0.09,0.63,1
ISIC_0013594,0.16,2.01,0.16,0.73,0
ISIC_0005787,0.13,1.2,0.06,0.69,1
ISIC_0006940,0.06,1.22,0.11,0.69,1
ISIC_0000250,0.17,1.28,0.22,0.69,1
ISIC_0000098,0.11,1.72,0.18,0.77,1
ISIC_0000191,0.1,1.25,0.28,0.69,1
ISIC_0013063,0.09,1.19,0.06,0.62,2
ISIC_0012116,0.1,1.23,0.22,0.7,1
ISIC_0000147,0.09,1.16,0.31,0.66,0
ISIC_0000216,0.07,2.16,0.27,0.65,1
ISIC_0000051,0.23,4.6,0.24,0.69,1
ISIC_0000473,0.19,1.3,0.17,0.67,1
ISIC_0000072,0.17,1.71,0.3,0.63,1
ISIC_0001292,0.21,2.86,0.08,0.73,1
ISIC_0013516,0.15,1.16,0.05,0.6,1
ISIC_0010000,0.38,3.67,0.16,0.78,0
ISIC_0010236,0.22,3.13,0.18,0.77,1
ISIC_0006914,0.1,1.25,0.13,0.72,1
ISIC_0012715,0.39,1.65,0.09,0.71,0
ISIC_0013181,0.18,1.26,0.18,0.63,1
ISIC_0011161,0.16,1.31,0.18,0.76,0
ISIC_0014956,0.07,1.14,0.37,0.63,1
ISIC_0015369,0.03,1.12,0.2,0.62,1
ISIC_0012306,0.14,1.69,0.17,0.71,1
ISIC_0016034,0.38,18.05,0.09,0.59,1
ISIC_0014820,0.12,5.34,0.27,0.62,1
ISIC_0010558,0.29,3.91,0.18,0.73,1
ISIC_0011202,0.15,1.16,0.1,0.65,1
ISIC_0012376,0.24,1.7,0.19,0.71,1
ISIC_0010351,0.18,2.3,0.11,0.66,1
ISIC_0015204,0.16,1.84,0.24,0.67,0
ISIC_0013170,0.08,1.14,0.14,0.64,2
ISIC_0011089,0.19,1.16,0.16,0.65,1
ISIC_0014160,0.76,37.6,0.11,0.63,0
ISIC_0011162,0.37,5.12,0.11,0.63,1
ISIC_0015011,0.36,7.85,0.21,0.77,1
ISIC_0010573,0.1,1.22,0.23,0.72,1
ISIC_0002439,0.21,4.84,0.19,0.64,1
ISIC_0011362,0.33,3.72,0.11,0.8,1
ISIC_0014725,0.17,26.33,0.29,0.67,1
ISIC_0013055,0.24,1.62,0.14,0.72,1
ISIC_0015273,0.26,8.38,0.27,0.72,1
ISIC_0013843,0.1,1.63,0.2,0.69,1
ISIC_0014803,0.13,1.81,0.3,0.7,1
ISIC_0012455,0.14,1.69,0.13,0.71,2
ISIC_0013495,0.2,2.07,0.15,0.78,1
ISIC_0010349,0.34,1.25,0.26,0.76,0
ISIC_0010603,0.18,1.34,0.18,0.95,1
ISIC_0010323,0.29,1.24,0.11,0.93,1
ISIC_0014183,0.2,1.48,0.09,0.75,0
ISIC_0000367,0.09,1.15,0.4,0.65,1
ISIC_0004985,0.15,1.28,0.1,0.72,1
ISIC_0000345,0.09,1.17,0.25,0.73,1
ISIC_0012512,0.25,1.64,0.18,0.76,0
ISIC_0000067,0.13,2.72,0.26,0.63,1
ISIC_0010346,0.07,1.16,0.26,0.6,1
ISIC_0000089,0.25,3.71,0.31,0.72,1
ISIC_0015019,0.28,32.84,0.18,0.7,1
ISIC_0000145,0.12,1.7,0.17,0.64,0
ISIC_0000528,0.25,2.94,0.1,0.67,1
ISIC_0014103,0.12,1.22,0.13,0.74,0
ISIC_0012167,0.1,1.22,0.17,0.69,1
ISIC_0009504,0.17,1.57,0.14,0.63,1
ISIC_0013678,0.21,10.98,0.15,0.65,0
ISIC_0015202,0.13,1.21,0.4,0.66,1
ISIC_0014936,0.31,59.28,0.39,0.71,1
ISIC_0009976,0.2,1.21,0.21,0.67,1
ISIC_0000346,0.16,1.32,0.25,0.7,1
ISIC_0013713,0.14,1.79,0.16,0.67,1
ISIC_0008507,0.13,1.15,0.21,0.6,1
ISIC_0003308,0.1,1.28,0.07,0.73,1
ISIC_0013184,0.11,1.79,0.14,0.66,0
ISIC_0013438,0.07,1.72,0.08,0.62,1
ISIC_0014382,0.22,2.0,0.16,0.67,2
ISIC_0015419,0.24,1.22,0.27,0.8,1
ISIC_0015958,0.2,1.26,0.07,0.64,1
ISIC_0000126,0.19,21.07,0.27,0.69,1
ISIC_0012740,0.22,4.23,0.21,0.69,1
ISIC_0015021,0.16,18.33,0.14,0.65,1
ISIC_0000431,0.27,1.42,0.29,0.66,1
ISIC_0006671,0.18,1.15,0.08,0.63,1
ISIC_0014490,0.29,5.92,0.11,0.66,1
ISIC_0012425,0.12,8.49,0.15,0.73,0
ISIC_0013287,0.15,1.76,0.16,0.66,1
ISIC_0010588,0.32,1.3,0.25,0.94,1
ISIC_0009917,0.3,2.52,0.11,0.71,1
ISIC_0010216,0.18,1.21,0.29,0.63,1
ISIC_0014720,0.1,1.23,0.31,0.72,1
ISIC_0011150,0.18,1.22,0.39,0.71,1
ISIC_0014771,0.37,2.23,0.31,0.74,1
ISIC_0013219,0.15,1.68,0.16,0.68,1
ISIC_0000099,0.14,1.28,0.24,0.7,1
ISIC_0011345,0.42,4.2,0.29,0.75,1
ISIC_0012700,0.19,5.54,0.18,0.65,1
ISIC_0010207,0.42,3.65,0.14,0.66,0
ISIC_0000182,0.07,1.14,0.21,0.6,1
ISIC_0010237,0.18,1.31,0.26,0.73,1
ISIC_0011208,0.28,4.92,0.16,0.73,1
ISIC_0013114,0.14,1.19,0.13,0.64,1
ISIC_0010864,0.26,3.42,0.29,0.71,1
ISIC_0014136,0.19,1.77,0.09,0.65,0
ISIC_0015110,0.35,2.83,0.26,0.73,0
ISIC_0010447,0.15,1.45,0.12,0.72,1
ISIC_0013842,0.12,5.73,0.09,0.69,0
ISIC_0014073,0.3,31.63,0.16,0.66,1
ISIC_0014665,0.11,1.72,0.21,0.71,1
ISIC_0014603,0.79,8.35,0.25,0.67,2
ISIC_0012136,0.12,1.28,0.1,0.75,2
ISIC_0011151,0.39,3.44,0.17,0.86,0
ISIC_0000488,0.22,3.08,0.15,0.73,1
ISIC_0010264,0.07,1.21,0.19,0.74,1
ISIC_0014693,0.16,1.8,0.2,0.75,1
ISIC_0012662,0.18,1.47,0.19,0.72,1
ISIC_0014480,0.18,1.31,0.14,0.61,0
ISIC_0009988,0.06,1.28,0.24,0.79,1
ISIC_0000108,0.08,2.62,0.27,0.63,1
ISIC_0013150,0.15,1.55,0.08,0.64,2
ISIC_0013230,0.14,5.31,0.14,0.61,1
ISIC_0000433,0.19,1.42,0.25,0.82,1
ISIC_0000425,0.13,1.29,0.15,0.73,1
ISIC_0010468,0.21,5.32,0.18,0.69,0
ISIC_0008998,0.23,14.8,0.16,0.69,1
ISIC_0012325,0.21,1.34,0.07,0.76,1
ISIC_0013258,0.24,1.7,0.19,0.69,0
ISIC_0015537,0.3,1.24,0.22,0.73,1
ISIC_0015212,0.17,13.46,0.33,0.66,1
ISIC_0014998,0.06,1.2,0.35,0.67,1
ISIC_0010479,0.09,1.21,0.14,0.71,1
ISIC_0014576,0.21,1.92,0.04,0.62,2
ISIC_0014903,0.2,2.32,0.28,0.77,1
ISIC_0013023,0.21,1.61,0.2,0.64,1
ISIC_0013793,0.4,2.01,0.18,0.66,1
ISIC_0015603,0.3,28.59,0.26,0.64,1
ISIC_0013953,0.11,1.18,0.12,0.66,0
ISIC_0013047,0.19,1.68,0.18,0.65,1
ISIC_0000409,0.25,2.14,0.24,0.66,1
ISIC_0012710,0.19,1.65,0.18,0.69,1
ISIC_0000037,0.19,3.32,0.4,0.69,1
ISIC_0010262,0.21,2.43,0.24,0.62,1
ISIC_0000313,0.12,1.21,0.24,0.67,0
ISIC_0014229,0.11,1.67,0.23,0.62,0
ISIC_0012699,0.13,1.63,0.22,0.61,1
ISIC_0014476,0.46,2.55,0.16,0.75,0
ISIC_0011149,0.26,1.29,0.27,0.75,1
ISIC_0009869,0.17,1.28,0.26,0.71,1
ISIC_0013766,0.21,5.72,0.14,0.7,0
ISIC_0001191,0.17,1.33,0.1,0.69,1
ISIC_0015203,0.15,1.22,0.27,0.83,1
ISIC_0000311,0.1,1.19,0.23,0.77,0
ISIC_0013393,0.12,1.18,0.1,0.65,2
ISIC_0000303,0.19,1.18,0.24,0.86,0
ISIC_0000515,0.09,1.2,0.26,0.69,1
ISIC_0011137,0.18,2.49,0.2,0.65,0
ISIC_0000203,0.07,1.24,0.3,0.83,1
ISIC_0010184,0.52,4.71,0.21,0.79,1
ISIC_0000153,0.16,2.93,0.15,0.62,0
ISIC_0011328,0.15,3.81,0.14,0.72,1
ISIC_0007557,0.14,1.23,0.16,0.68,1
ISIC_0015109,0.15,1.9,0.31,0.69,0
ISIC_0010265,0.44,4.33,0.21,0.7,0
ISIC_0007332,0.04,1.16,0.22,0.67,1
ISIC_0000211,0.08,1.14,0.41,0.62,1
ISIC_0013032,0.24,1.74,0.21,0.62,1
ISIC_0011102,0.11,1.19,0.22,0.6,1
ISIC_0014274,0.11,1.73,0.14,0.63,1
ISIC_0010010,0.27,3.28,0.19,0.69,1
ISIC_0011207,0.12,1.17,0.18,0.58,1
ISIC_0009895,0.23,1.21,0.28,0.66,1
ISIC_0009078,0.15,1.68,0.25,0.64,1
ISIC_0015368,0.17,20.02,0.22,0.73,1
ISIC_0000518,0.19,1.32,0.29,0.63,0
ISIC_0013865,0.26,1.88,0.13,0.67,0
ISIC_0000140,0.19,1.25,0.4,0.63,0
ISIC_0013274,0.18,1.66,0.21,0.7,1
ISIC_0014545,0.08,1.59,0.18,0.6,0
ISIC_0014526,0.15,1.72,0.06,0.64,2
ISIC_0016030,0.07,1.18,0.06,0.59,1
ISIC_0014289,0.18,1.79,0.16,0.75,0
ISIC_0009962,0.16,1.47,0.38,0.94,1
ISIC_0000337,0.12,1.15,0.37,0.67,1
ISIC_0012653,0.12,1.65,0.18,0.71,1
ISIC_0013674,0.23,1.42,0.14,0.75,0
ISIC_0000381,0.25,1.59,0.3,0.73,1
ISIC_0011382,0.26,3.6,0.31,0.67,1
ISIC_0015201,0.23,24.93,0.28,0.71,1
ISIC_0010037,0.17,1.27,0.18,0.81,1
ISIC_0014663,0.21,48.7,0.15,0.64,0
ISIC_0012721,0.11,1.74,0.14,0.66,1
ISIC_0013836,0.1,1.64,0.15,0.68,1
ISIC_0010204,0.18,1.26,0.24,0.86,1
ISIC_0013403,0.12,1.69,0.11,0.65,1
ISIC_0015251,1.42,275.36,0.05,0.73,0
ISIC_0014692,0.09,1.68,0.3,0.7,1
ISIC_0012773,0.13,1.56,0.14,0.82,2
ISIC_0010064,0.21,3.24,0.19,0.62,1
ISIC_0013813,0.21,1.28,0.08,0.79,0
ISIC_0007038,0.18,1.35,0.13,0.74,1
ISIC_0014559,0.11,1.14,0.15,0.62,0
ISIC_0000202,0.05,1.17,0.3,0.83,1
ISIC_0013942,0.13,1.16,0.19,0.62,1
ISIC_0000148,0.18,1.36,0.29,0.7,0
ISIC_0002251,0.12,1.26,0.16,0.73,1
ISIC_0011383,0.13,1.38,0.25,0.65,1
ISIC_0000483,0.21,3.1,0.22,0.65,1
ISIC_0013238,0.37,1.91,0.11,0.63,1
ISIC_0013277,0.1,1.19,0.17,0.67,0
ISIC_0014357,0.14,1.84,0.07,0.71,0
ISIC_0000228,0.11,4.25,0.31,0.68,1
ISIC_0011330,0.18,2.23,0.27,0.68,1
ISIC_0013455,0.22,1.24,0.2,0.6,0
ISIC_0013795,0.19,1.24,0.37,0.66,1
ISIC_0014703,0.36,1.4,0.23,0.81,0
ISIC_0000540,0.19,4.45,0.18,0.64,1
ISIC_0012735,0.12,1.62,0.24,0.69,1
ISIC_0012941,0.07,1.14,0.05,0.62,1
ISIC_0014979,0.44,1.27,0.16,0.82,0
ISIC_0015220,0.13,1.78,0.23,0.75,2
ISIC_0015127,0.24,101.46,0.36,0.65,0
ISIC_0015636,0.05,2.66,0.26,0.65,1
ISIC_0014809,0.19,1.87,0.24,0.64,0
ISIC_0010317,0.21,2.35,0.19,0.63,1
ISIC_0009994,0.22,2.64,0.19,0.76,1
ISIC_0012911,0.37,1.5,0.2,0.65,1
ISIC_0012656,0.23,4.35,0.25,0.6,1
ISIC_0010251,0.17,1.49,0.28,0.67,0
ISIC_0014730,0.1,1.24,0.32,0.64,1
ISIC_0010853,0.38,2.38,0.26,0.64,1
ISIC_0015971,0.25,5.47,0.26,0.65,1
ISIC_0013458,0.12,1.64,0.12,0.64,2
ISIC_0014567,0.14,10.89,0.15,0.68,2
ISIC_0000151,0.26,1.45,0.28,0.73,0
ISIC_0012266,0.56,95.98,0.06,0.64,2
ISIC_0011305,0.36,3.8,0.17,0.69,0
ISIC_0013163,0.15,4.52,0.17,0.68,1
ISIC_0016070,0.13,1.18,0.2,0.67,1
ISIC_0009927,0.16,1.19,0.17,0.63,0
ISIC_0016008,0.23,1.4,0.09,0.74,1
ISIC_0011358,0.28,4.96,0.18,0.75,1
ISIC_0014543,0.28,2.27,0.12,0.68,0
ISIC_0010597,0.22,1.31,0.26,0.67,0
ISIC_0000116,0.37,1.49,0.21,0.64,1
ISIC_0014233,0.2,1.4,0.1,0.77,0
ISIC_0010380,0.4,5.68,0.14,0.68,0
ISIC_0009950,0.08,1.22,0.27,0.68,0
ISIC_0014687,0.06,1.14,0.36,0.65,1
ISIC_0013075,0.12,1.67,0.2,0.68,1
ISIC_0013400,0.15,1.24,0.11,0.67,2
ISIC_0013456,0.42,3.53,0.15,0.64,1
ISIC_0010093,0.14,1.42,0.16,0.86,1
ISIC_0013592,0.13,1.61,0.13,0.68,1
ISIC_0011085,0.11,1.19,0.38,0.67,1
ISIC_0016055,0.06,1.13,0.23,0.6,1
ISIC_0015445,0.98,3.02,0.34,0.9,1
ISIC_0014486,0.23,1.78,0.17,0.65,0
ISIC_0011315,0.25,1.26,0.16,0.67,0
ISIC_0014347,0.21,1.42,0.08,0.72,0
ISIC_0013374,0.18,1.26,0.11,0.74,0
ISIC_0013961,0.14,1.17,0.05,0.63,1
ISIC_0010029,0.31,1.41,0.14,0.76,0
ISIC_0014642,0.2,1.91,0.05,0.65,2
ISIC_0014625,0.63,14.04,0.12,0.73,2
ISIC_0000537,0.41,11.02,0.13,0.78,1
ISIC_0011347,0.2,1.25,0.18,0.82,1
ISIC_0010856,0.27,3.14,0.16,0.67,1
ISIC_0012876,0.13,1.18,0.1,0.69,1
ISIC_0008403,0.08,1.14,0.1,0.63,1
ISIC_0013656,0.11,1.45,0.16,0.69,1
ISIC_0013356,0.13,3.03,0.17,0.7,1
ISIC_0004115,0.2,1.38,0.11,0.74,1
ISIC_0015157,0.2,82.51,0.29,0.72,1
ISIC_0012749,0.4,1.62,0.3,0.83,0
ISIC_0015990,0.15,6.82,0.19,0.69,1
ISIC_0015050,0.23,44.93,0.17,0.8,0
ISIC_0016040,0.48,19.93,0.14,0.61,1
ISIC_0016063,0.23,4.88,0.13,0.65,1
ISIC_0000361,0.14,1.31,0.31,0.65,1
ISIC_0014162,0.27,1.83,0.04,0.68,1
ISIC_0015309,0.18,12.9,0.18,0.62,1
ISIC_0011146,0.12,1.18,0.24,0.63,1
ISIC_0009971,0.39,2.89,0.22,0.62,0
ISIC_0015129,0.15,10.94,0.19,0.6,1
ISIC_0013094,0.23,1.24,0.19,0.64,1
ISIC_0013269,0.29,23.83,0.08,0.68,1
ISIC_0013525,0.37,2.51,0.18,0.78,0
ISIC_0000386,0.16,7.7,0.22,0.63,1
ISIC_0016041,0.07,1.16,0.08,0.64,1
ISIC_0000882,0.08,1.19,0.13,0.7,1
ISIC_0015939,0.28,3.85,0.2,0.69,1
ISIC_0000043,0.21,1.34,0.32,0.67,0
ISIC_0001262,0.14,1.23,0.14,0.69,1
ISIC_0014609,0.28,1.7,0.25,0.7,2
ISIC_0002879,0.27,1.24,0.21,0.68,1
ISIC_0000172,0.21,4.49,0.31,0.69,0
ISIC_0014843,0.24,1.31,0.26,0.63,1
ISIC_0009896,0.14,1.58,0.3,0.84,1
ISIC_0000230,0.17,4.66,0.34,0.76,1
ISIC_0000197,0.13,4.75,0.37,0.66,1
ISIC_0016038,0.21,4.94,0.27,0.66,1
ISIC_0015155,0.09,10.49,0.14,0.68,1
ISIC_0010069,0.27,2.29,0.23,0.69,1
ISIC_0010017,0.12,1.16,0.29,0.66,1
ISIC_0011210,0.2,1.34,0.29,0.71,0
ISIC_0000041,0.28,2.03,0.22,0.67,1
ISIC_0004110,0.15,1.24,0.23,0.71,1
ISIC_0012677,0.15,1.65,0.27,0.68,1
ISIC_0010593,0.14,1.15,0.34,0.59,1
ISIC_0014032,0.14,1.17,0.15,0.66,2
ISIC_0010227,0.23,8.41,0.13,0.71,1
ISIC_0000501,0.18,2.34,0.17,0.64,1
ISIC_0013200,0.16,1.69,0.09,0.72,2
ISIC_0010043,0.27,1.25,0.18,0.69,1
ISIC_0000495,0.18,1.79,0.31,0.66,1
ISIC_0015226,0.15,6.59,0.27,0.67,1
ISIC_0012149,0.2,1.19,0.22,0.67,1
ISIC_0000485,0.53,9.37,0.22,0.82,1
ISIC_0014072,0.2,1.2,0.11,0.69,0
ISIC_0014639,0.29,1.34,0.15,0.67,2
ISIC_0012508,0.23,1.82,0.17,0.72,1
ISIC_0012278,0.13,3.23,0.15,0.66,1
ISIC_0002489,0.18,2.18,0.17,0.68,1
ISIC_0014438,0.09,1.73,0.08,0.71,1
ISIC_0013164,0.21,11.97,0.23,0.59,1
ISIC_0014062,0.42,2.07,0.08,0.69,0
ISIC_0014964,0.12,33.53,0.31,0.71,1
ISIC_0004715,0.08,1.13,0.07,0.64,1
ISIC_0014851,0.17,1.98,0.19,0.64,1
ISIC_0016044,0.14,1.21,0.14,0.67,1
ISIC_0013830,0.14,1.56,0.13,0.68,1
ISIC_0013048,0.09,1.61,0.17,0.64,1
ISIC_0013395,0.12,1.7,0.12,0.67,1
ISIC_0011199,0.24,2.56,0.18,0.66,1
ISIC_0013599,0.11,1.76,0.2,0.73,1
ISIC_0014798,0.21,58.42,0.22,0.71,1
ISIC_0013423,0.1,1.17,0.05,0.67,1
ISIC_0012961,0.22,1.94,0.14,0.62,1
ISIC_0011343,0.29,1.31,0.24,0.66,1
ISIC_0012684,0.13,1.75,0.21,0.7,1
ISIC_0014913,0.18,2.09,0.24,0.7,1
ISIC_0015193,0.2,17.82,0.21,0.7,0
ISIC_0011114,0.21,1.15,0.25,0.67,1
ISIC_0012271,0.08,1.66,0.16,0.72,1
ISIC_0015985,0.16,4.56,0.15,0.65,1
ISIC_0002829,0.13,1.18,0.16,0.66,1
ISIC_0013615,0.39,58.88,0.1,0.6,0
ISIC_0010473,0.27,3.92,0.2,0.76,1
ISIC_0013762,0.68,2.08,0.13,0.73,0
ISIC_0000383,0.16,3.14,0.17,0.64,1
ISIC_0014683,0.12,1.85,0.23,0.71,1
ISIC_0010178,0.13,1.66,0.19,0.66,1
ISIC_0000085,0.18,4.79,0.26,0.61,1
ISIC_0000164,0.25,1.42,0.37,0.71,0
ISIC_0012164,0.24,1.78,0.12,0.71,1
ISIC_0000026,0.19,1.31,0.15,0.73,0
ISIC_0014114,0.19,1.2,0.19,0.66,1
ISIC_0014498,0.12,1.72,0.15,0.72,1
ISIC_0014929,0.13,1.6,0.29,0.69,1
ISIC_0010206,0.14,2.61,0.42,0.68,1
ISIC_0006776,0.15,1.15,0.11,0.62,1
ISIC_0012680,0.13,1.59,0.31,0.67,1
ISIC_0014089,0.31,6.85,0.15,0.71,1
ISIC_0011088,0.13,1.22,0.14,0.75,1
ISIC_0011303,0.09,1.22,0.31,0.67,1
ISIC_0013643,0.13,1.67,0.08,0.66,1
ISIC_0016000,0.26,17.47,0.18,0.65,1
ISIC_0012701,0.25,1.88,0.2,0.68,0
ISIC_0000293,0.28,1.3,0.28,0.8,0
ISIC_0011214,0.1,3.59,0.27,0.73,1
ISIC_0012137,0.35,1.54,0.25,0.62,0
ISIC_0015002,0.13,15.01,0.21,0.69,1
ISIC_0010335,0.18,1.23,0.33,0.69,1
ISIC_0000215,0.08,1.23,0.36,0.74,1
ISIC_0015941,0.17,4.48,0.25,0.69,1
ISIC_0000006,0.19,3.59,0.2,0.71,1
ISIC_0013765,0.2,1.29,0.15,0.62,2
ISIC_0008552,0.14,3.2,0.11,0.71,1
ISIC_0000520,0.19,1.22,0.17,0.68,0
ISIC_0013146,0.45,2.96,0.16,0.66,2
ISIC_0010192,0.13,1.32,0.31,0.69,1
ISIC_0014132,0.06,1.15,0.09,0.66,0
ISIC_0013673,0.12,1.15,0.11,0.65,2
ISIC_0012520,0.28,1.95,0.14,0.67,1
ISIC_0013512,0.2,8.5,0.18,0.65,1
ISIC_0013672,0.29,1.48,0.11,0.75,0
ISIC_0012208,0.11,1.56,0.15,0.66,0
ISIC_0000471,0.19,3.08,0.25,0.66,1
ISIC_0012810,0.33,7.51,0.03,0.65,2
ISIC_0000336,0.18,1.24,0.26,0.62,1
ISIC_0014163,0.45,2.65,0.07,0.67,0
ISIC_0010105,0.2,1.17,0.36,0.6,1
ISIC_0013600,0.09,1.28,0.14,0.73,1
ISIC_0015443,0.12,1.56,0.16,0.67,1
ISIC_0009160,0.08,1.17,0.17,0.65,1
ISIC_0012658,0.19,1.63,0.14,0.7,1
ISIC_0015984,0.19,1.26,0.16,0.73,1
ISIC_0013749,0.24,1.81,0.11,0.66,1
ISIC_0000166,0.18,3.01,0.43,0.63,0
ISIC_0010171,0.17,1.31,0.15,0.58,0
ISIC_0011352,0.49,4.03,0.19,0.7,1
ISIC_0013079,0.09,1.25,0.12,0.63,0
ISIC_0014027,0.23,1.21,0.1,0.65,0
ISIC_0013817,0.06,1.65,0.12,0.64,2
ISIC_0013026,0.16,1.76,0.24,0.72,1
ISIC_0001126,0.29,1.66,0.12,0.74,0
ISIC_0013193,0.05,1.37,0.13,0.74,1
ISIC_0012855,0.13,1.74,0.22,0.71,1
ISIC_0000229,0.4,1.65,0.34,0.73,1
ISIC_0013134,0.12,1.17,0.05,0.67,2
ISIC_0010847,0.16,1.2,0.28,0.64,1
ISIC_0000207,0.04,1.25,0.25,0.75,1
ISIC_0009993,0.38,3.14,0.27,0.68,0
ISIC_0012357,0.35,21.86,0.09,0.69,1
ISIC_0012904,0.12,5.27,0.13,0.63,1
ISIC_0015466,0.21,1.37,0.25,0.83,1
ISIC_0000307,0.26,1.3,0.26,0.74,0
ISIC_0011397,0.28,1.49,0.19,0.72,1
ISIC_0014090,0.28,15.5,0.14,0.69,1
ISIC_0009973,0.11,3.23,0.26,0.66,1
ISIC_0013390,0.09,1.61,0.13,0.63,1
ISIC_0014211,0.2,1.79,0.06,0.67,1
ISIC_0013862,0.19,1.35,0.09,0.68,1
ISIC_0000262,0.29,3.41,0.19,0.67,1
ISIC_0000062,0.17,3.96,0.23,0.68,1
ISIC_0009964,0.23,2.3,0.21,0.66,1
ISIC_0013981,0.19,1.21,0.11,0.7,2
ISIC_0014867,0.18,17.72,0.28,0.68,1
ISIC_0000086,0.09,2.65,0.2,0.73,1
ISIC_0012949,0.34,1.64,0.22,0.65,1
ISIC_0000193,0.16,1.29,0.3,0.72,1
ISIC_0000245,0.12,1.16,0.17,0.69,1
ISIC_0013702,0.1,1.26,0.11,0.72,0
ISIC_0014263,0.14,1.59,0.11,0.62,1
ISIC_0000359,0.16,1.26,0.28,0.76,1
ISIC_0014127,0.16,2.01,0.1,0.75,0
ISIC_0010462,0.14,2.42,0.29,0.66,1
ISIC_0010233,0.07,1.21,0.16,0.69,1
ISIC_0000461,0.22,4.79,0.16,0.71,1
ISIC_0014982,0.16,1.21,0.32,0.69,0
ISIC_0015353,0.21,69.79,0.11,0.73,1
ISIC_0010472,0.31,2.94,0.24,0.63,1
ISIC_0014944,0.23,31.47,0.23,0.65,1
ISIC_0001188,0.21,1.21,0.13,0.61,1
ISIC_0015986,0.32,25.99,0.14,0.74,1
ISIC_0014069,0.11,1.2,0.05,0.66,1
ISIC_0007087,0.2,2.42,0.18,0.68,1
ISIC_0010591,0.22,1.26,0.19,0.65,0
ISIC_0014166,0.45,24.18,0.04,0.69,1
ISIC_0010189,0.38,1.27,0.2,0.96,0
ISIC_0014372,0.35,1.6,0.13,0.61,0
ISIC_0014682,0.19,1.79,0.24,0.75,1
ISIC_0010220,0.2,3.13,0.22,0.66,1
ISIC_0012363,0.27,18.14,0.06,0.67,1
ISIC_0010557,0.21,4.29,0.16,0.62,1
ISIC_0012804,0.1,1.26,0.28,0.7,1
ISIC_0000057,0.17,1.9,0.18,0.66,1
ISIC_0000187,0.21,1.15,0.27,0.79,1
ISIC_0015940,0.16,1.19,0.3,0.61,1
ISIC_0000022,0.14,1.39,0.24,0.69,0
ISIC_0002287,0.19,1.5,0.14,0.72,1
ISIC_0010456,0.21,4.09,0.27,0.64,1
ISIC_0014139,0.17,1.68,0.14,0.65,2
ISIC_0000321,0.08,1.17,0.24,0.67,1
ISIC_0009935,0.06,1.19,0.24,0.67,1
ISIC_0000353,0.12,1.34,0.24,0.64,1
ISIC_0015968,0.12,1.24,0.14,0.67,1
ISIC_0000073,0.14,1.69,0.29,0.7,1
ISIC_0012494,0.17,1.28,0.08,0.67,1
ISIC_0014731,0.16,7.16,0.14,0.64,1
ISIC_0000479,0.28,13.63,0.13,0.73,1
ISIC_0010059,0.19,1.27,0.25,0.7,1
ISIC_0015130,0.12,21.98,0.29,0.65,1
ISIC_0009990,0.05,1.23,0.35,0.81,1
ISIC_0013031,0.17,1.27,0.12,0.65,1
ISIC_0016012,0.33,25.72,0.12,0.71,1
ISIC_0014698,0.09,15.04,0.28,0.6,1
ISIC_0014489,0.17,1.25,0.14,0.66,0
ISIC_0013809,0.11,1.18,0.11,0.65,1
ISIC_0014832,0.26,2.41,0.21,0.66,0
ISIC_0011349,0.33,1.49,0.22,0.77,0
ISIC_0010013,0.11,1.2,0.41,0.69,1
ISIC_0013601,0.23,1.86,0.1,0.77,1
ISIC_0015015,0.19,1.18,0.36,0.63,1
ISIC_0009949,0.18,2.01,0.42,0.7,1
ISIC_0000382,0.25,1.6,0.1,0.68,1
ISIC_0013966,0.17,1.26,0.08,0.67,1
ISIC_0013579,0.44,2.59,0.07,0.64,0
ISIC_0013975,0.21,1.27,0.12,0.63,0
ISIC_0000499,0.11,1.31,0.29,0.7,1
ISIC_0013897,0.38,14.17,0.09,0.61,1
ISIC_0012888,0.18,1.66,0.18,0.62,1
ISIC_0000240,0.11,1.27,0.25,0.62,1
ISIC_0015256,0.15,1.24,0.29,0.8,0
ISIC_0006795,0.07,1.14,0.1,0.66,1
ISIC_0014189,0.33,1.77,0.1,0.73,0
ISIC_0000087,0.1,2.57,0.25,0.77,1
ISIC_0014558,0.23,2.27,0.14,0.61,0
ISIC_0010329,0.14,1.3,0.3,0.78,0
ISIC_0016062,0.17,1.29,0.13,0.73,1
ISIC_0014716,0.09,1.22,0.3,0.66,1
ISIC_0000508,0.23,3.09,0.18,0.65,1
ISIC_0014743,0.11,1.35,0.3,0.76,1
ISIC_0013802,0.14,1.62,0.13,0.74,1
ISIC_0000160,0.13,1.39,0.27,0.87,0
ISIC_0012092,0.06,1.28,0.21,0.7,1
ISIC_0013518,0.22,2.54,0.08,0.63,0
ISIC_0010168,0.2,3.2,0.32,0.7,1
ISIC_0000159,0.17,1.24,0.47,0.66,0
ISIC_0000456,0.31,4.29,0.1,0.67,1
